Industry,"a day的
平均值","a day的
標準差","a day的
樣本數","a week的
平均值","a week的
標準差","a week的
樣本數","a month的
平均值","a month的
標準差","a month的
樣本數","one season
的平均值","one season
的標準差","one season
的樣本數","half a yea
r的平均值","half a year
的標準差","half a year
的樣本數"
紡織纖維,0.29 ,2.10 ,4.00 ,-2.55 ,2.86 ,4.00 ,-4.06 ,15.29 ,4.00 ,3.09 ,34.75 ,4.00 ,26.18 ,69.77 ,4.00 
資訊服務業,0.17 ,0.80 ,3.00 ,-0.18 ,0.31 ,3.00 ,-1.95 ,2.21 ,3.00 ,12.02 ,27.21 ,3.00 ,23.08 ,41.68 ,3.00 
食品工業,-5.00 ,,1.00 ,-4.78 ,,1.00 ,-11.40 ,,1.00 ,-21.32 ,,1.00 ,17.65 ,,1.00 
電子零組件業,5.70 ,19.47 ,24.00 ,1.93 ,11.32 ,24.00 ,6.82 ,21.61 ,24.00 ,9.58 ,43.40 ,24.00 ,15.21 ,50.84 ,24.00 
電腦及週邊設備業,4.88 ,14.93 ,16.00 ,1.06 ,15.86 ,16.00 ,6.53 ,28.53 ,16.00 ,9.81 ,30.01 ,16.00 ,15.10 ,34.71 ,16.00 
橡膠工業,-1.78 ,2.44 ,2.00 ,-6.07 ,2.21 ,2.00 ,-8.74 ,1.19 ,2.00 ,-6.06 ,17.74 ,2.00 ,11.01 ,66.50 ,2.00 
金融保險業,0.90 ,1.22 ,5.00 ,-0.48 ,4.28 ,5.00 ,0.99 ,7.45 ,5.00 ,3.09 ,10.51 ,5.00 ,8.89 ,21.15 ,5.00 
光電業,0.46 ,5.55 ,28.00 ,1.92 ,12.25 ,28.00 ,4.55 ,20.09 ,28.00 ,-0.27 ,22.76 ,28.00 ,8.21 ,41.99 ,28.00 
生技醫療業,3.53 ,11.61 ,30.00 ,0.68 ,12.07 ,30.00 ,5.55 ,20.38 ,30.00 ,10.75 ,36.48 ,30.00 ,6.91 ,26.34 ,30.00 
化學工業,1.71 ,8.83 ,9.00 ,5.53 ,13.47 ,9.00 ,3.06 ,13.47 ,9.00 ,-2.79 ,19.07 ,9.00 ,6.59 ,30.49 ,9.00 
航運業,0.71 ,2.27 ,10.00 ,-0.26 ,15.71 ,10.00 ,10.52 ,26.06 ,10.00 ,2.93 ,22.48 ,10.00 ,5.92 ,24.01 ,10.00 
玻璃陶瓷,0.50 ,,1.00 ,-0.43 ,,1.00 ,-10.14 ,,1.00 ,14.35 ,,1.00 ,5.80 ,,1.00 
電器電纜,1.00 ,1.41 ,2.00 ,3.47 ,1.37 ,2.00 ,-2.35 ,0.21 ,2.00 ,-5.14 ,3.34 ,2.00 ,5.54 ,10.24 ,2.00 
建材營造,-0.06 ,1.95 ,7.00 ,0.19 ,10.11 ,7.00 ,0.95 ,13.78 ,7.00 ,2.26 ,16.78 ,7.00 ,3.77 ,27.41 ,7.00 
通信網路業,4.02 ,4.40 ,12.00 ,8.40 ,13.72 ,12.00 ,23.38 ,69.81 ,12.00 ,34.66 ,146.58 ,12.00 ,1.71 ,60.80 ,12.00 
其他電子業,2.98 ,12.55 ,11.00 ,2.63 ,12.40 ,11.00 ,1.75 ,20.38 ,11.00 ,8.85 ,46.93 ,11.00 ,-0.19 ,40.66 ,11.00 
下市,-1.69 ,11.51 ,23.00 ,0.22 ,12.35 ,23.00 ,-0.21 ,18.87 ,23.00 ,1.17 ,26.05 ,23.00 ,-0.36 ,31.87 ,23.00 
運動休閒,-4.34 ,4.85 ,9.00 ,-6.01 ,8.26 ,9.00 ,-8.75 ,12.65 ,9.00 ,-5.96 ,19.18 ,9.00 ,-3.54 ,21.84 ,9.00 
汽車工業,-0.20 ,6.16 ,22.00 ,3.71 ,17.14 ,22.00 ,4.27 ,25.18 ,22.00 ,0.86 ,40.26 ,22.00 ,-4.31 ,32.75 ,22.00 
居家生活,-1.29 ,2.03 ,5.00 ,-6.32 ,8.30 ,5.00 ,-16.52 ,10.51 ,5.00 ,-13.58 ,16.37 ,5.00 ,-5.11 ,30.41 ,5.00 
綠能環保,1.46 ,9.78 ,12.00 ,1.39 ,15.43 ,12.00 ,1.20 ,19.30 ,12.00 ,-4.32 ,27.59 ,12.00 ,-5.55 ,28.20 ,12.00 
其他,0.04 ,5.75 ,17.00 ,-5.01 ,6.15 ,17.00 ,-5.71 ,13.56 ,17.00 ,-0.43 ,35.32 ,17.00 ,-6.56 ,28.95 ,17.00 
電機機械,1.24 ,3.92 ,20.00 ,-0.22 ,6.86 ,20.00 ,1.17 ,15.94 ,20.00 ,-3.32 ,21.27 ,20.00 ,-7.79 ,31.99 ,20.00 
半導體業,3.64 ,10.80 ,36.00 ,4.62 ,11.42 ,36.00 ,5.03 ,16.08 ,36.00 ,-1.92 ,22.84 ,36.00 ,-8.36 ,31.16 ,36.00 
觀光餐旅,15.31 ,51.03 ,9.00 ,-0.71 ,13.85 ,9.00 ,-5.93 ,16.29 ,9.00 ,-8.01 ,20.10 ,9.00 ,-8.41 ,22.56 ,9.00 
造紙工業,-0.20 ,,1.00 ,-5.89 ,,1.00 ,-14.38 ,,1.00 ,-12.95 ,,1.00 ,-12.86 ,,1.00 
鋼鐵工業,-0.90 ,1.69 ,4.00 ,-6.52 ,3.42 ,4.00 ,-10.83 ,2.63 ,4.00 ,-13.51 ,2.31 ,4.00 ,-13.95 ,13.17 ,4.00 
數位雲端,-0.50 ,6.76 ,3.00 ,14.49 ,8.40 ,3.00 ,-10.05 ,17.26 ,3.00 ,-26.21 ,21.45 ,3.00 ,-17.23 ,9.75 ,3.00 
電子通路業,6.73 ,11.66 ,3.00 ,7.71 ,16.30 ,3.00 ,-8.68 ,6.43 ,3.00 ,-10.58 ,5.57 ,3.00 ,-17.98 ,9.17 ,3.00 
塑膠工業,-7.87 ,14.76 ,3.00 ,-12.32 ,4.98 ,3.00 ,-23.11 ,5.55 ,3.00 ,-17.78 ,8.15 ,3.00 ,-21.92 ,19.21 ,3.00 
貿易百貨,-5.76 ,13.84 ,8.00 ,-7.55 ,5.37 ,8.00 ,-15.97 ,9.53 ,8.00 ,-21.51 ,9.08 ,8.00 ,-31.76 ,10.22 ,8.00 
